,ID,Number,Address,Latitude,Longitude,DistritoId,DistritoName,BarrioId,BarrioName,CardinalId,CardinalName,RegionId,RegionName
118,122,115,Calle Evaristo San Miguel nº 2,40.425394399999995,-3.7170447999999996,9,Moncloa-Aravaca,52,Casa de Campo,0,O,0,O
119,123,116a,Plaza de España,40.42402,-3.7116029999999998,9,Moncloa-Aravaca,53,Argüelles,0,O,0,O
120,124,116b,Plaza de España,40.42412,-3.711703,9,Moncloa-Aravaca,53,Argüelles,0,O,0,O
121,125,117,Calle Altamirano nº 24,40.4309797,-3.7188898,9,Moncloa-Aravaca,53,Argüelles,0,O,0,O
122,126,118,Calle Juan Martín el Empecinado nº 14,40.400781,-3.6882406999999997,2,Arganzuela,11,Delicias,3,S,3,S
123,127,119,Calle Méndez Álvaro nº 11,40.4013216,-3.6863218,2,Arganzuela,11,Delicias,3,S,3,S
124,128,120,Calle Palos de la Frontera nº 40,40.4032208,-3.6944767999999995,2,Arganzuela,12,Palos de Moguer,3,S,3,S
125,129,121,Paseo de Santa María de la Cabeza nº 58,40.4017926,-3.6987665,2,Arganzuela,8,Acacias,3,S,3,S
126,130,122,Calle Santa Engracia nº 14,40.4295863,-3.6963983,7,Chamberi,40,Trafalgar,0,O,4,O
127,131,123,Calle Guzmán el Bueno nº 2,40.4306458,-3.7133412000000003,1,Centro,5,Universidad,0,O,0,O
128,132,161,Paseo de la Florida nº 8,40.4220812,-3.7218482,9,Moncloa-Aravaca,52,Casa de Campo,0,O,0,O
129,133,162,Paseo de los Olmos nº 28,40.4034076,-3.7108108,2,Arganzuela,8,Acacias,3,S,3,S
130,134,163,Paseo de la Esperanza nº 2,40.4035988,-3.7064516000000003,2,Arganzuela,8,Acacias,3,S,3,S
131,135,165,Paseo de la Chopera nº 14,40.3919385,-3.6971828999999996,2,Arganzuela,9,Chopera,3,S,3,S
132,136,164,Paseo de las Delicias nº 92-94,40.39726160000001,-3.6945025,2,Arganzuela,11,Delicias,3,S,3,S
133,137,157,Paseo de la Castellana nº 164,40.4591366,-3.6894150999999997,6,Tetuan,34,Castillejos,1,N,1,N
134,138,158,Avenida de Alberto Alcocer nº 22,40.458531799999996,-3.684715,5,Chamartin,29,Hispanoamérica,1,N,1,N
135,139,155,Calle del General Yagüe nº 57,40.4572824,-3.7009675000000004,6,Tetuan,33,Cuatro Caminos,1,N,1,N
136,140,156,Calle Sor Ángela de la Cruz nº 2,40.4592351,-3.691533,6,Tetuan,34,Castillejos,1,N,1,N
137,141,154,Calle Orense nº 36,40.4548456,-3.6946218,6,Tetuan,33,Cuatro Caminos,1,N,1,N
138,142,152,Avenida del General Perón nº 1-4,40.4527164,-3.6990077000000006,6,Tetuan,33,Cuatro Caminos,1,N,1,N
139,143,153,Avenida del General Perón nº 36,40.4522938,-3.692651,6,Tetuan,33,Cuatro Caminos,1,N,1,N
140,144,148,Calle Serrano nº 210,40.4510188,-3.6817962,5,Chamartin,26,El Viso,1,N,1,N
